Codice;Nome pozzo;Anno;Scopo;Esito;Prof;Tipo titolo;Nome titolo ;Operatore;Provincia/ Zona;Terra/ Mare;Latitudine;Longitudine;Profilo;Disp;Pdf
7399;BARBARA D 028 DIR B;2015;S;GA;1277;M;A.C 7.AS;ENI;ZA;M;44°02'19,50'';13°48'56,12'';3923;No;No
7402;BARBARA D 037 DIR B;2015;S;GA;1447;M;A.C 7.AS;ENI;ZA;M;44°01'36,62'';13°48'37,23'';3925;No;No
7397;BARBARA D 040 DIR A;2015;S;;1488;M;A.C 7.AS;ENI;ZA;M;44°02'02,86'';13°48'41,47'';3919;No;No
7410;BONACCIA NW 001 DIR;2015;S;GA;1316;M;B.C 17.TO;ENI;ZB;M;43°36'06,60'';14°19'58,75'';3933;No;No
7411;BONACCIA NW 003 DIR;2015;S;GA;1331;M;B.C 17.TO;ENI;ZA;M;43°36'00,38'';14°20'24,85'';3936;No;No
7423;CASCINA DAGA 001 DIR;2015;E;NP;1998;R;CARITA';APENNINE ENERGY;TV;T;45°47'56,23'';00°01'24,53'' E;0;No;No
7419;CLARA NW 001 DIR;2015;S;GA;1174;M;B.C 13.AS;ENI;ZB;M;43°48'28,79'';14°01'52,29'';3944;No;No
7413;CLARA NW 002 DIR;2015;S;GA;1297;M;B.C 13.AS;ENI;ZB;M;43°47'57,64'';14°00'42,17'';3938;No;No
7416;CLARA NW 003 DIR;2015;S;GA;1306;M;B.C 13.AS;ENI;ZB;M;43°47'42,46'';14°00'39,76'';3941;No;No
7420;CLARA NW 004 DIR;2015;S;GA;1357;R;B.R 13.AS;ENI;ZB;M;43°48'22,70'';14°00'59,68'';3945;No;No
7424;COTIGNOLA C 006 DIR ST1;2015;T;GA;935;S;SAN POTITO E COTIGNOLA STOCCAGGIO;EDISON STOCCAGGIO;RA;T;44°22'13,40'';00°31'57,82'' W;0;No;No
7409;FASETTO 001 DIR;2015;S;NP;1916;M;MONTEARDONE;GAS PLUS ITALIANA;PR;T;44°40'00,82'';02°17'16,37'' E;3932;No;No
7415;GUENDALINA 002 DIR A;2015;S;GA;3153;M;A.C 35.AG;ENI;ZA;M;44°34'05,08'';12°53'10,64'';3940;No;No
7396;MONTE ENOC 010 OR C;2015;S;OL;3845;M;VAL D'AGRI;ENI;PZ;T;40°22'51,83'';02°59'54,43'' E;3918;No;No
7426;SAN POTITO A 001 DIR W;2015;S;GA;2159;S;SAN POTITO E COTIGNOLA STOCCAGGIO;EDISON STOCCAGGIO;RA;T;44°25'10,28'';00°30'19,92'' W;0;No;No
7412;SAN SALVO 100 OR;2015;S;GA;1178;S;FIUME TRESTE STOCCAGGIO;STOGIT;CH;T;42°00'24,60'';14°41'51,92'' E;3937;No;No
7427;TEMPA ROSSA 001 DIR ST QUATER;2015;S;OG;3190;M;GORGOGLIONE;TOTAL;PZ;T;40°24'50,66'';33°37'06,27'' E;3931;No;No
7395;ARIANNA 006 DIR;2014;S;GA;4309;M;A.C 4.AS;ENI;ZA;M;44°18'16,23'';12°37'47,79'';3915;No;No
7368;ARMIDA 004 DIR A;2014;S;GA;4140;M;A.C 29.EA;ENI;ZA;M;44°28'47,49'';12°26'40,66'';3894;No;No
7369;ARMIDA 007 DIR A;2014;S;GA;3928;M;A.C 29.EA;ENI;ZA;M;44°28'48,40'';12°26'53,32'';3898;No;No
7373;BARBARA D 029 DIR A;2014;S;GA;1632;M;A.C 7.AS;ENI;ZA;M;44°01'47,10'';13°48'34,30'';0;No;No
7400;BARBARA D 029 DIR B;2014;S;GA;1276;M;A.C 7.AS;ENI;ZA;M;44°02'11,73'';13°48'43,64'';3924;No;No
7403;BARBARA D 030 DIR B;2014;S;GA;1282;M;A.C 7.AS;ENI;ZA;M;44°01'29,28'';13°48'24,01'';3926;No;No
7370;BARBARA D 031 DIR B;2014;S;GA;1446;M;A.C 7.AS;ENI;ZA;M;44°02'06,44'';13°48'55,18'';3907;No;No
7371;BARBARA D 034 DIR B;2014;S;GA;1470;M;A.C 7.AS;ENI;ZA;M;44°01'34,22'';13°49'03,44'';3908;No;No
7404;BARBARA D 035 DIR B;2014;S;GA;1476;M;A.C 7.AS;ENI;ZA;M;44°01'49,27'';13°48'58,07'';3927;No;No
7372;BARBARA D 036 DIR B;2014;S;GA;1567;M;A.C 7.AS;ENI;ZA;M;44°01'10,88'';13°47'57,95'';3909;No;No
7376;BORDOLANO 028 DIR;2014;T;GA;1807;S;BORDOLANO STOCCAGGIO;STOGIT;CR;T;45°17'12,10'';09°59'03,22'' E;3901;No;No
7405;CALIPSO 004 DIR B;2014;S;GA;1274;M;B.C 14.AS;ENI;ZB;M;43°48'57,77'';13°52'03,98'';3928;No;No
7378;CERVIA 030 DIR A;2014;S;GA;3471;M;A.C 4.AS;ENI;ZA;M;44°17'42,48'';12°38'08,49'';3897;No;No
7379;CLARA EST 012 DIR A;2014;S;GA;1368;M;B.C 13.AS;ENI;ZA;M;43°46'17,63'';14°03'56,31'';3910;No;No
7380;CLARA EST 013 DIR A;2014;S;GA;1327;M;B.C 13.AS;ENI;ZB;M;43°46'36,47'';14°04'22,75'';3911;No;No
7406;ELETTRA 003;2014;S;GA;1185;M;B.C 13.AS;ENI;ZB;M;43°45'49,39'';14°12'55,42'';3929;No;No
7382;FAUZIA 002;2014;S;GA;2308;M;A.C 36.AG;ENI;ZA;M;44°03'20,36'';13°33'14,97'';0;No;No
7383;FAUZIA 003 DIR;2014;S;GA;2387;M;A.C 36.AG;ENI;ZA;M;44°03'20,36'';13°33'15,10'';0;No;No
7384;LA COCCETTA 001 DIR A;2014;M;NP;1099;S;FIUME TRESTE STOCCAGGIO;STOGIT;CH;T;41°59'51,41'';14°43'07,97'' E;3912;No;No
7394;MONTE ALPI 003 OR B;2014;S;OL;3048;M;VAL D'AGRI;ENI;PZ;T;40°18'28,37'';03°28'35,38'' E;3914;No;No
7385;REGINA 004 DIR B;2014;S;GA;2212;M;A.C 17.AG;ENI;ZA;M;44°06'05,98'';12°51'01,17'';3920;No;No
7386;REGINA 006 DIR B;2014;S;GA;2115;M;A.C 17.AG;ENI;ZA;M;44°06'20,27'';12°50'28,22'';3921;No;No
7387;SETTALA 032 OR;2014;T;GA;1293;S;SETTALA STOCCAGGIO;STOGIT;MI;T;45°26'22,25'';09°24'39,88'' E;3916;No;No
7388;SETTALA 033 OR;2014;T;GA;1286;S;SETTALA STOCCAGGIO;STOGIT;MI;T;45°27'38,17'';09°24'35,55'' E;3917;No;No
7389;TEMPA ROSSA 002 DIR ST;2014;S;OL;5471;M;GORGOGLIONE;TOTAL E&P ITALIA;PZ;T;40°23'44,68'';03°37'25,20'' E;0;No;No
7390;TORRENTE TONA 005 DIR A;2014;S;OL;1800;M;MASSERIA VERTICCHIO;ADRIATICA IDROCARBURI;CB;T;41°44'41,00'';02°36'37,00'' E;0;No;No
7391;TORRENTE TONA 017 DIR A;2014;S;OG;1590;M;MASSERIA VERTICCHIO;ADRIATICA IDROCARBURI;CB;T;41°43'56,00'';02°35'46,50'' E;0;No;No
7392;TORRENTE TONA 020 DIR B;2014;S;OL;1855;M;MASSERIA VERTICCHIO;ADRIATICA IDROCARBURI;CB;T;41°44'35,56'';02°35'06,19'' E;0;No;No
7393;VOLTURINO 001 OR C;2014;S;OL;3798;M;VAL D'AGRI;ENI;PZ;T;40°23'21,07'';03°22'56,29'' E;3913;No;No
7335;ALLI 002 OR;2013;S;OL;3283;M;VAL D'AGRI;ENI;PZ;T;40°21'42,58'';03°23'09,72'' E;3893;No;No
7341;ANNAMARIA 016 DIR;2013;S;GA;1543;M;A.C 11.AG;ENI;ZA;M;44°19'29,12'';13°24'47,40'';3890;No;No
7342;ANNAMARIA 017 DIR;2013;S;GA;1807;M;A.C 11.AG;ENI;ZA;M;44°19'40,73'';01°32'43,87'';3889;Sì;No
7343;BORDOLANO 022 DIR;2013;T;GA;1762;S;BORDOLANO STOCCAGGIO;STOGIT;CR;T;45°17'21,47'';09°58'27,36'' E;3887;Sì;No
7344;BORDOLANO 023 DIR;2013;T;GA;1753;S;BORDOLANO STOCCAGGIO;STOGIT;CR;T;45°17'36,79'';09°58'38,98'' E;3895;No;No
7345;BORDOLANO 024 DIR;2013;T;GA;1768;S;BORDOLANO STOCCAGGIO;STOGIT;CR;T;45°17'24,94'';09°58'49,24'' E;3896;No;No
7346;BORDOLANO 025 DIR;2013;T;GA;1776;S;BORDOLANO STOCCAGGIO;STOGIT;CR;T;45°17'33,73'';09°58'22,97'' E;3888;Sì;No
7347;BORDOLANO 026 DIR;2013;T;GA;1774;S;BORDOLANO STOCCAGGIO;STOGIT;CR;T;45°17'14,25'';09°58'40,21'' E;3899;No;No
7348;BORDOLANO 027 DIR;2013;T;GA;1748;S;BORDOLANO STOCCAGGIO;STOGIT;CR;T;45°17'31,57'';09°58'57,11'' E;3900;No;No
7349;BRENDA 004 DIR A;2013;S;GA;1692;M;A.C 12.AG;ENI;ZA;M;44°06'40,73'';13°03'09,97'';3905;No;No
7350;CERVIA B 021 DIR B;2013;S;GA;2324;M;CERVIA MARE;ENI;ZA;M;44°16'19,98'';12°39'59,33'';3876;Sì;No
7351;CERVIA B 024 DIR B;2013;S;GA;1897;M;CERVIA MARE;ENI;ZA;M;44°16'34,80'';12°39'35,89'';3872;Sì;No
7352;CUPELLO 026 DIR A;2013;M;GA;1141;S;FIUME TRESTE STOCCAGGIO;STOGIT;CH;T;42°00'25,20'';02°14'11,91'' E;3881;Sì;No
7353;EMILIO 008 DIR B;2013;S;GA;2770;M;B.C 3.AS;ENI;ZB;M;42°55'59,13'';14°14'39,87'';0;No;No
7354;GRADIZZA 001;2013;E;GA;1030;R;LA PROSPERA;NORTHSUN ITALIA;FE;T;44°51'31,29'';00°36'30,30'' E;0;No;No
7355;MONTE ALPI 002 OR A;2013;S;OL;3324;M;VAL D'AGRI;ENI;PZ;T;40°20'27,83'';03°28'59,04'' E;3874;Sì;No
7356;ROSPO MARE 330 ST;2013;S;OL;1398;M;B.C 8.LF;EDISON;ZB;M;42°14'06,08'';14°55'54,66'';0;No;No
7357;ROSPO MARE 334 ST;2013;S;OL;1397;M;B.C 8.LF;EDISON;ZB;M;42°14'06,10'';14°55'54,58'';0;No;No
7358;SABBIONCELLO 053 DIR;2013;M;GA;1260;S;SABBIONCELLO STOCCAGGIO;STOGIT;FE;T;44°47'32,05'';00°32'51,21'' W;3884;Sì;No
7359;SANT'ANDREA 001 DIR ST1;2013;E;GA;2013;R;CARITA';APENNINE ENERGY;TV;T;45°48'27,26'';00°12'27,99'' E;0;No;No
7360;TRECATE 004 DIR A;2013;S;NP;5594;M;VILLAFORTUNA-TRECATE;ENI;NO;T;45°27'57,73'';08°45'02,51'' E;3902;No;No
7228;ANTONELLA 006 DIR B;2012;S;GA;4673;M;A.C 5.AV;ENI;ZA;M;44°13'02,09'';12°46'14,19'';3906;No;No
7229;BARBARA E 044 DIR B;2012;S;GA;1056;M;A.C 7.AS;ENI;ZA;M;44°05'14,97'';13°45'04,45'';3875;Sì;No
7230;BARBARA E 048 DIR B;2012;S;GA;1055;M;A.C 7.AS;ENI;ZA;M;44°05'29,26'';13°45'09,69'';3885;Sì;No
7231;BARBARA E 051 DIR A;2012;S;GA;1501;M;A.C 7.AS;ENI;ZA;M;44°05'20,71'';13°45'37,89'';3878;Sì;No
7232;BARBARA E 053 DIR A;2012;S;GA;1499;M;A.C 7.AS;ENI;ZA;M;44°05'14,57'';13°45'48,25'';3892;No;No
7233;BARBARA E 055 DIR B;2012;S;GA;1496;M;A.C 7.AS;ENI;ZA;M;44°05'35,85'';13°45'31,84'';3891;No;No
7224;BASIL 006 DIR C;2012;S;GA;1497;M;A.C 12.AG;ENI;ZA;M;44°07'28,77'';13°00'28,19'';3867;Sì;No
7227;BASIL 009 DIR A;2012;S;GA;2189;M;A.C 12.AG;ENI;ZA;M;44°07'42,90'';13°00'25,92'';3870;Sì;No
7234;BRENDA 002 DIR A;2012;S;GA;2088;M;A.C 12.AG;ENI;ZA;M;44°07'08,59'';13°02'06,02'';3903;No;No
7235;BRENDA 003 DIR A;2012;S;GA;2093;M;A.C 12.AG;ENI;ZA;M;44°06'58,93'';13°02'16,45'';3904;No;No
7225;BRENDA 006 DIR A;2012;S;GA;1634;M;A.C 12.AG;ENI;ZA;M;44°07'00,28'';13°02'31,98'';3868;Sì;No
7262;CAPPARUCCIA 001 DIR A;2012;S;GA;2634;M;CAPPARUCCIA;ADRIATICA IDROCARBURI;AP;T;43°55'53,61'';12°58'49,62'' E;0;No;No
7263;CAPPARUCCIA 002 DIR B;2012;S;NP;2592;M;CAPPARUCCIA;ADRIATICA IDROCARBURI;AP;T;43°08'02,83'';13°36'30,02'' E;0;No;No
7264;CAPPARUCCIA 002 DIR C;2012;S;NP;1576;M;CAPPARUCCIA;ADRIATICA IDROCARBURI;AP;T;43°55'53,61'';13°58'49,62'' E;0;No;No
7270;CASA TIBERI 001;2012;E;GA;715;R;MONTEMARCIANO;APENNINE ENERGY;AN;T;43°37'43,71'';00°54'50,47'' E;0;Sì;No
7261;CLARA NORD 007 DIR A;2012;S;GA;1396;M;B.C 13.AS;ENI;ZA;M;43°55'56,20'';13°58'53,01'';3886;Sì;No
7271;COTIGNOLA B 002 DIR ST2;2012;T;GA;1196;S;SAN POTITO E COTIGNOLA STOCCAGGIO;EDISON STOCCAGGIO;RA;T;44°21'39,39'';00°28'57,05'' W;0;No;No
7272;COTIGNOLA B 003 DIR ST1;2012;T;GA;1105;S;SAN POTITO E COTIGNOLA STOCCAGGIO;EDISON STOCCAGGIO;RA;T;44°21'39,44'';00°28'57,26'' W;0;No;No
